dissection_date,species,population,brood_no,number,treatment,standard_length_cm,wet_mass,dry_mass_1,dry_mass_2,FC_percent,notes,,
5-X-23,Xmal,CHIC,1m,1,starved,1.192,0.0242,0.005,0.0047,6,fed one day before treatment started,,
5-X-23,Xmal,CHIC,1m,2,starved,1.231,0.0254,0.0049,0.0048,2.04081633,fed one day before treatment started,,
5-X-23,Xmal,CHIC,1m,3,starved,1.205,0.241,0.0046,0.0046,0,fed one day before treatment started,,
5-X-23,Xmal,CHIC,1m,4,starved,1.161,0.0245,0.0047,0.0046,2.12765957,fed one day before treatment started,,
5-X-23,Xmal,CHIC,1m,1,control,1.311,0.039,0.0077,0.0071,7.79220779,fed one day before treatment started,,
5-X-23,Xmal,CHIC,1m,2,control,1.315,0.0376,0.0075,0.0068,9.33333333,fed one day before treatment started,,
5-X-23,Xmal,CHIC,1m,3,control,1.237,0.0337,0.0068,0.0062,8.82352941,fed one day before treatment started,,
20-X-23,Xbir,COAC,1b,1,starved,0.8487,NA,0.0015,0.0019,-26.666667,"fed one day before treatment started, stuck to foil and measured in 2 pieces",,
20-X-23,Xbir,COAC,1b,2,starved,0.9163,NA,0.0023,0.0023,0,fed one day before treatment started,,
20-X-23,Xbir,COAC,1b,3,starved,0.8144,NA,0.0016,0.0016,0,fed one day before treatment started,,
20-X-23,Xbir,COAC,1b,4,starved,0.955,NA,0.002,0.002,0,fed one day before treatment started,,
20-X-23,Xbir,COAC,1b,1,control,1.1266,NA,0.0059,0.0052,11.8644068,fed one day before treatment started,,
20-X-23,Xbir,COAC,1b,2,control,1.171,NA,0.0055,0.0048,12.7272727,fed one day before treatment started,,
20-X-23,Xbir,COAC,1b,3,control,1.0296,NA,0.0036,0.0035,2.77777778,fed one day before treatment started,,
30-X-23,Xbir,COAC,2b,1,starved,0.968,0.0191,0.0029,0.0029,0,,,
30-X-23,Xbir,COAC,2b,2,starved,0.973,0.0189,0.0029,0.0028,3.44827586,,,
30-X-23,Xbir,COAC,2b,3,starved,0.855,0.0183,0.0031,0.0031,0,,,
30-X-23,Xbir,COAC,2b,1,control,1.181,0.0275,0.005,0.0045,10,,,
30-X-23,Xbir,COAC,2b,2,control,1.177,0.0272,0.0049,0.0044,10.2040816,,,
30-X-23,Xbir,COAC,2b,3,control,1.235,0.033,0.0056,0.0051,8.92857143,,,
2-XI-23,Xmal,CHIC,2m,1,starved,1.132,NA,0.0038,0.0038,0,,,
2-XI-23,Xmal,CHIC,2m,2,starved,0.996,NA,0.0034,0.0033,2.94117647,,, 
2-XI-23,Xmal,CHIC,2m,3,starved,0.931,NA,0.0036,0.0035,2.77777778,,,
2-XI-23,Xmal,CHIC,2m,4,starved,1.205,NA,0.0036,0.0036,0,,,
2-XI-23,Xmal,CHIC,2m,5,starved,1.003,NA,0.0032,0.0033,-3.125,,,
2-XI-23,Xmal,CHIC,2m,6,starved,1.108,NA,0.0039,0.0037,5.12820513,,,
2-XI-23,Xmal,CHIC,2m,1,control,1.085,NA,0.0047,0.004,14.893617,,,
2-XI-23,Xmal,CHIC,2m,2,control,1.024,NA,0.0047,0.0042,10.6382979,,,
2-XI-23,Xmal,CHIC,2m,3,control,0.995,NA,0.0046,0.0042,8.69565217,,,
2-XI-23,Xmal,CHIC,2m,4,control,1.085,NA,0.005,0.0042,16,,,
2-XI-23,Xmal,CHIC,2m,5,control,1.098,NA,0.0049,0.0043,12.244898,,,
2-XI-23,Xmal,CHIC,2m,6,control,1.314,NA,0.0048,0.0044,8.33333333,,,
14-XII-23,Xmal,CHIC,3m,1,starved,1.005,NA,0.0031,0.003,3.225806452,,,
14-XII-23,Xmal,CHIC,3m,2,starved,1.1,NA,0.0036,0.0034,5.555555556,,,
14-XII-23,Xmal,CHIC,3m,1,control,1.109,NA,0.0047,0.0043,8.510638298,,,
12-XI-23,Xmal,CHIC,4m,1,starved,1.09,NA,0.0032,0.003,6.25,,,
12-XI-23,Xmal,CHIC,4m,2,starved,0.956,NA,0.0028,0.0028,0,,,
12-XI-23,Xmal,CHIC,4m,3,starved,0.992,NA,0.003,0.0029,3.33333333,,,
12-XI-23,Xmal,CHIC,4m,4,starved,1.035,NA,0.0026,0.0027,-3.8461538,,,
12-XI-23,Xmal,CHIC,4m,5,starved,1.011,NA,0.0029,0.0028,3.44827586,,,
12-XI-23,Xmal,CHIC,4m,6,starved,1.072,NA,0.0029,0.003,-3.4482759,,,
12-XI-23,Xmal,CHIC,4m,1,control,1.018,NA,0.004,0.0034,15,stuck to foil and measured in 2 pieces,,
12-XI-23,Xmal,CHIC,4m,2,control,1.047,NA,0.0043,0.0037,13.9534884,,,
12-XI-23,Xmal,CHIC,4m,3,control,1.172,NA,0.0043,0.0032,25.5813953,,,
12-XI-23,Xmal,CHIC,4m,4,control,1.267,NA,0.0043,0.0037,13.9534884,,,
12-XI-23,Xmal,CHIC,4m,5,control,1.063,NA,0.0042,0.0037,11.9047619,,,
14-XI-23,Xbir,COAC,3b,1,starved,0.813,NA,0.0026,0.0023,11.53846154,"dried for 7 days, not 6",,
14-XI-23,Xbir,COAC,3b,2,starved,0.918,NA,0.0026,0.0022,15.38461538,"dried for 7 days, not 6",,
14-XI-23,Xbir,COAC,3b,3,starved,0.991,NA,0.0027,0.0024,11.11111111,"dried for 7 days, not 6",,
14-XI-23,Xbir,COAC,3b,1,control,1.058,NA,0.0041,0.0035,14.63414634,"dried for 7 days, not 6",,
14-XI-23,Xbir,COAC,3b,2,control,1.049,NA,0.0047,0.0037,21.27659574,"dried for 7 days, not 6",,
14-XI-23,Xbir,COAC,3b,3,control,1.095,NA,0.004,0.0033,17.5,"dried for 7 days, not 6",,
17-XII-23,Xmal,CHIC,5m,1,control,1.004,NA,0.0035,0.0028,20,,,
17-XII-23,Xmal,CHIC,5m,2,control,1.112,NA,0.0036,0.0028,22.22222222,,,
17-XII-23,Xmal,CHIC,5m,3,control,1.112,NA,0.0036,0.0027,25,,,
17-XII-23,Xmal,CHIC,5m,4,control,1.054,NA,0.0035,0.0027,22.85714286,,,
17-XII-23,Xmal,CHIC,5m,5,control,1.035,NA,0.0029,0.0022,24.13793103,,,
17-XII-23,Xmal,CHIC,5m,6,control,NA,NA,NA,NA,NA,died in tank (est. 7/16 pm),,
17-XII-23,Xmal,CHIC,5m,1,starved,0.937,NA,0.0034,0.0029,14.70588235,,,
17-XII-23,Xmal,CHIC,5m,2,starved,0.966,NA,0.0031,0.0027,12.90322581,,,
17-XII-23,Xmal,CHIC,5m,3,starved,1.05,NA,0.0035,0.0029,17.14285714,,,
17-XII-23,Xmal,CHIC,5m,4,starved,0.932,NA,0.0032,0.0026,18.75,,,
17-XII-23,Xmal,CHIC,5m,5,starved,0.979,NA,0.0033,0.0028,15.15151515,,,
17-XII-23,Xmal,CHIC,5m,6,starved,1.046,NA,0.0036,0.0029,19.44444444,,,
17-XII-23,Xmal,CHIC,5m,7,starved,0.983,NA,0.0035,0.0029,17.14285714,,,
20-XII-23,Xbir,COAC,4b,1,control,1.038,NA,0.003,0.0024,20,,,
20-XII-23,Xbir,COAC,4b,2,control,0.852,NA,0.0019,0.0017,10.5263158,,,
20-XII-23,Xbir,COAC,4b,3,control,1.008,NA,0.0027,0.0022,18.5185185,,,
20-XII-23,Xbir,COAC,4b,4,control,0.888,NA,0.0028,0.0024,14.57143,2 pieces,,
20-XII-23,Xbir,COAC,4b,5,control,0.902,NA,0.0016,0.0018,-12.5,2 pieces,,
20-XII-23,Xbir,COAC,4b,6,control,0.974,NA,0.0037,0.003,18.9189189,,,
20-XII-23,Xbir,COAC,4b,1,starved,0.956,NA,0.003,0.0026,13.33333333,,,
20-XII-23,Xbir,COAC,4b,2,starved,1.001,NA,0.0025,0.0025,0,,,
20-XII-23,Xbir,COAC,4b,3,starved,0.962,NA,0.0025,0.0022,12,,,
20-XII-23,Xbir,COAC,4b,4,starved,0.913,NA,0.0025,0.0021,16,,,
20-XII-23,Xbir,COAC,4b,5,starved,0.945,NA,0.0024,0.0021,12.5,2 pieces,,
20-XII-23,Xbir,COAC,4b,6,starved,0.909,NA,0.0027,0.0024,11.11111111,2 pieces,,
20-XII-23,Xbir,COAC,4b,7,starved,0.926,NA,0.003,0.0027,10,2 pieces,,
20-XII-23,Xbir,COAC,4b,8,starved,0.931,NA,0.0026,0.0024,7.69230769,,,